Time,Longitude,Latitude,Altitude,Roll (deg),Pitch (deg),Yaw (deg)
0.0,128.181881,37.968463,7002.830292000001,0.0,-0.003,179.999
0.0167,128.181881,37.968418,7002.8116992000005,0.0,-0.012,180.0
0.0334,128.181881,37.968374,7002.792496800001,0.0,-0.025,180.0
0.0501,128.181881,37.968329,7002.7720752,0.0,-0.04,180.0
0.0668,128.181881,37.968284,7002.751044,0.0,-0.057,180.0
0.0834,128.181881,37.968239,7002.7287936,0.0,-0.075,180.0
0.1002,128.181881,37.968194,7002.705933600001,0.0,-0.094,180.0
0.1169,128.181881,37.968149,7002.682159200001,0.001,-0.112,180.0
0.1336,128.181881,37.968104,7002.657470400001,0.001,-0.131,180.0
0.1503,128.181881,37.968059,7002.6315624,0.001,-0.149,180.0
0.1669,128.181881,37.968014,7002.6050448000005,0.002,-0.167,180.0
0.1837,128.181881,37.967969,7002.5776128,0.002,-0.185,180.0
0.2004,128.181881,37.967924,7002.5489615999995,0.002,-0.203,180.0
0.2171,128.181881,37.96788,7002.519396000001,0.003,-0.22,180.0
0.2338,128.181881,37.967835,7002.488916,0.003,-0.237,180.0
0.2505,128.181881,37.96779,7002.4575216,0.004,-0.254,180.0
0.2672,128.181881,37.967745,7002.4252128,0.004,-0.271,180.0
0.2839,128.181881,37.9677,7002.3916848,0.005,-0.287,180.0
0.3006,128.181881,37.967655,7002.3572424,0.006,-0.304,180.0
0.3172,128.181881,37.96761,7002.3218856,0.007,-0.32,180.0
0.3339,128.181881,37.967565,7002.285309600001,0.007,-0.335,180.0
0.3507,128.181881,37.967521,7002.248124000001,0.008,-0.351,180.0
0.3674,128.181881,37.967476,7002.2094144,0.009,-0.366,180.0
0.3841,128.181881,37.967431,7002.1700952,0.011,-0.381,180.0
0.4008,128.181881,37.967386,7002.1295568000005,0.012,-0.396,180.0
0.4175,128.181881,37.967341,7002.088104,0.013,-0.411,180.001
0.4342,128.181881,37.967296,7002.045432000001,0.014,-0.426,180.001
0.4509,128.181881,37.967252,7002.001845600001,0.016,-0.441,180.001
0.4676,128.181881,37.967207,7001.95704,0.018,-0.455,180.001
0.4843,128.181881,37.967162,7001.911320000001,0.019,-0.469,180.001
0.501,128.181881,37.967117,7001.8646856000005,0.021,-0.484,180.001
0.5176,128.181881,37.967072,7001.816832,0.023,-0.498,180.001
0.5344,128.181881,37.967028,7001.7677592,0.026,-0.512,180.001
0.5511,128.181881,37.966983,7001.7180768,0.028,-0.526,180.002
0.5678,128.181881,37.966938,7001.666870400001,0.031,-0.54,180.002
0.5845,128.181881,37.966893,7001.6147496,0.034,-0.553,180.002
0.6012,128.181881,37.966849,7001.561714400001,0.037,-0.567,180.002
0.6179,128.181881,37.966804,7001.507460000001,0.04,-0.581,180.002
0.6345,128.181881,37.966759,7001.4519864,0.044,-0.594,180.003
0.6513,128.181881,37.966714,7001.3955984,0.048,-0.608,180.003
0.6679,128.181881,37.96667,7001.338296000001,0.052,-0.621,180.003
0.6847,128.181881,37.966625,7001.279774400001,0.057,-0.635,180.003
0.7014,128.181881,37.96658,7001.2200336000005,0.062,-0.648,180.004
0.7181,128.181881,37.966536,7001.159378400001,0.068,-0.662,180.004
0.7348,128.181881,37.966491,7001.097504,0.073,-0.675,180.004
0.7514,128.181881,37.966446,7001.0347152,0.08,-0.688,180.005
0.7682,128.181881,37.966402,7000.9704024,0.087,-0.702,180.005
0.7848,128.181881,37.966357,7000.90548,0.094,-0.715,180.005
0.8016,128.181881,37.966312,7000.839033600001,0.103,-0.728,180.006
0.8183,128.181881,37.966268,7000.7716728000005,0.111,-0.741,180.006
0.835,128.181881,37.966223,7000.703397600001,0.121,-0.755,180.007
0.8517,128.181881,37.966179,7000.6339032,0.131,-0.768,180.008
0.8684,128.181881,37.966134,7000.5628848,0.143,-0.781,180.008
0.8851,128.181881,37.966089,7000.491256800001,0.155,-0.794,180.009
0.9018,128.181881,37.966045,7000.4181048,0.168,-0.808,180.01
0.9185,128.181881,37.966,7000.3440384000005,0.182,-0.821,180.011
0.9352,128.181881,37.965956,7000.2687528,0.198,-0.834,180.011
0.9519,128.181881,37.965911,7000.1925528,0.215,-0.847,180.012
0.9686,128.181881,37.965867,7000.1148288,0.233,-0.861,180.013
0.9853,128.181881,37.965822,7000.0361904,0.252,-0.874,180.014
1.002,128.181881,37.965778,6999.9563328,0.274,-0.887,180.016
1.0187,128.181881,37.965733,6999.8749512,0.297,-0.901,180.017
1.0353,128.181881,37.965689,6999.792960000001,0.321,-0.914,180.018
1.0521,128.181881,37.965644,6999.7094448,0.348,-0.927,180.02
1.0688,128.181881,37.9656,6999.6247104,0.378,-0.941,180.022
1.0855,128.181881,37.965555,6999.538756800001,0.409,-0.954,180.023
1.1022,128.181881,37.965511,6999.451584000001,0.443,-0.968,180.025
1.1189,128.181881,37.965466,6999.363192000001,0.481,-0.981,180.027
1.1356,128.181881,37.965422,6999.2735808,0.521,-0.995,180.03
1.1522,128.181881,37.965377,6999.1827504,0.564,-1.008,180.032
1.169,128.181881,37.965333,6999.0907008,0.611,-1.022,180.035
1.1857,128.181881,37.965288,6998.9971272,0.662,-1.036,180.037
1.2024,128.181881,37.965244,6998.9023344,0.717,-1.05,180.04
1.2191,128.181881,37.9652,6998.806322400001,0.777,-1.063,180.044
1.2358,128.181881,37.965155,6998.7087864000005,0.841,-1.077,180.047
1.2525,128.181881,37.965111,6998.6100312,0.911,-1.091,180.051
1.2691,128.18188,37.965066,6998.509752000001,0.987,-1.106,180.055
1.2859,128.18188,37.965022,6998.4079488,1.068,-1.12,180.06
1.3026,128.18188,37.964978,6998.3049264,1.157,-1.134,180.065
1.3193,128.18188,37.964933,6998.200075199999,1.253,-1.148,180.07
1.3359,128.18188,37.964889,6998.0940048,1.357,-1.163,180.076
1.3527,128.18188,37.964845,6997.986410400001,1.469,-1.178,180.082
1.3694,128.18188,37.9648,6997.8769872,1.591,-1.192,180.089
1.386,128.18188,37.964756,6997.76604,1.723,-1.207,180.096
1.4028,128.18188,37.964712,6997.6535688,1.865,-1.223,180.104
1.4195,128.18188,37.964667,6997.5392688,2.019,-1.238,180.112
1.4362,128.18188,37.964623,6997.42314,2.186,-1.253,180.122
1.4528,128.18188,37.964579,6997.3051824,2.368,-1.269,180.131
1.4696,128.18188,37.964535,6997.1850912,2.564,-1.285,180.141
1.4863,128.18188,37.96449,6997.063476,2.778,-1.301,180.152
1.5029,128.18188,37.964446,6996.939422400001,3.01,-1.318,180.162
1.5197,128.18188,37.964402,6996.81354,3.262,-1.335,180.173
1.5364,128.18188,37.964357,6996.685524,3.536,-1.352,180.184
1.5531,128.18188,37.964313,6996.555069600001,3.832,-1.369,180.196
1.5697,128.18188,37.964269,6996.422176800001,4.154,-1.387,180.208
1.5865,128.18188,37.964225,6996.286845600001,4.503,-1.405,180.22
1.6032,128.18188,37.964181,6996.149076,4.882,-1.424,180.233
1.6198,128.18188,37.964136,6996.0082584,5.294,-1.444,180.246
1.6366,128.18188,37.964092,6995.864697600001,5.74,-1.463,180.26
1.6533,128.18188,37.964048,6995.7180888,6.224,-1.484,180.274
1.67,128.18188,37.964004,6995.568432,6.749,-1.505,180.289
1.6867,128.18188,37.963959,6995.4154224,7.32,-1.527,180.305
1.7034,128.18188,37.963915,6995.260279200001,7.864,-1.549,180.316
1.7201,128.18188,37.963871,6995.1030024,8.38,-1.571,180.321
1.7368,128.18188,37.963827,6994.944506400001,8.873,-1.592,180.324
1.7535,128.18188,37.963783,6994.784486400001,9.346,-1.614,180.326
1.7702,128.18188,37.963738,6994.623552000001,9.805,-1.635,180.328
1.7869,128.18188,37.963694,6994.4610936,10.255,-1.657,180.33
1.8036,128.18188,37.96365,6994.2971112000005,10.7,-1.679,180.334
1.8203,128.18188,37.963606,6994.1313,11.145,-1.702,180.339
1.837,128.18188,37.963562,6993.9639648,11.594,-1.725,180.344
1.8537,128.18188,37.963518,6993.794496,12.049,-1.748,180.351
1.8704,128.18188,37.963474,6993.6228936,12.513,-1.772,180.358
1.8871,128.18188,37.963429,6993.4494624,12.989,-1.796,180.366
1.9038,128.18188,37.963385,6993.273897600001,13.479,-1.82,180.375
1.9205,128.18188,37.963341,6993.0961992,13.984,-1.845,180.384
1.9372,128.18188,37.963297,6992.9160624,14.505,-1.87,180.393
1.9539,128.18188,37.963253,6992.733792000001,15.043,-1.895,180.402
1.9706,128.181879,37.963209,6992.5490832000005,15.601,-1.921,180.412
1.9873,128.181879,37.963165,6992.361936,16.178,-1.947,180.422
2.004,128.181879,37.963121,6992.1723504,16.776,-1.974,180.432
2.0207,128.181879,37.963077,6991.9803264,17.396,-2.001,180.443
2.0374,128.181879,37.963032,6991.785864,18.039,-2.028,180.453
2.0541,128.181879,37.962988,6991.5886584,18.705,-2.056,180.463
2.0707,128.181879,37.962944,6991.388709600001,19.395,-2.084,180.474
2.0875,128.181879,37.9629,6991.1860176,20.111,-2.113,180.485
2.1042,128.181879,37.962856,6990.9808872,20.853,-2.143,180.495
2.1208,128.181879,37.962812,6990.772404,21.622,-2.173,180.506
2.1376,128.181879,37.962768,6990.5614824,22.419,-2.204,180.517
2.1543,128.181879,37.962724,6990.3475128,23.246,-2.236,180.527
2.171,128.181879,37.96268,6990.1304952,24.104,-2.268,180.538
2.1877,128.181879,37.962636,6989.910124800001,24.993,-2.301,180.548
2.2044,128.181879,37.962592,6989.687011200001,25.915,-2.334,180.557
2.2211,128.181879,37.962548,6989.4605448,26.871,-2.368,180.567
2.2378,128.181879,37.962504,6989.2307256,27.862,-2.403,180.575
2.2544,128.181878,37.96246,6988.9978584,28.888,-2.438,180.584
2.2712,128.181878,37.962416,6988.761638400001,29.952,-2.475,180.592
2.2879,128.181878,37.962372,6988.521760800001,31.055,-2.512,180.599
2.3045,128.181878,37.962328,6988.2785304,32.197,-2.549,180.606
2.3213,128.181878,37.962284,6988.031947200001,33.38,-2.588,180.612
2.338,128.181878,37.96224,6987.781401600001,34.605,-2.627,180.617
2.3546,128.181878,37.962196,6987.5275032,35.873,-2.667,180.622
2.3714,128.181878,37.962152,6987.2699472,37.185,-2.708,180.625
2.3881,128.181878,37.962108,6987.008428800001,38.543,-2.75,180.628
2.4048,128.181878,37.962064,6986.7432528,39.948,-2.793,180.63
2.4215,128.181878,37.96202,6986.474419200001,41.398,-2.836,180.631
2.4382,128.181878,37.961976,6986.2022328,42.892,-2.88,180.631
2.4549,128.181878,37.961932,6985.926084000001,44.429,-2.924,180.629
2.4716,128.181878,37.961888,6985.646582400001,46.007,-2.968,180.626
2.4882,128.181878,37.961844,6985.363728,47.625,-3.013,180.621
2.505,128.181878,37.9618,6985.076911200001,49.281,-3.058,180.615
2.5217,128.181879,37.961756,6984.787046400001,50.975,-3.103,180.607
2.5383,128.181879,37.961712,6984.493524,52.705,-3.147,180.597
2.5551,128.181879,37.961668,6984.1969536,54.47,-3.192,180.586
2.5718,128.181879,37.961624,6983.8967256,56.268,-3.237,180.573
2.5884,128.181879,37.96158,6983.5931448,58.1,-3.282,180.559
2.6052,128.181879,37.961536,6983.286516,59.963,-3.326,180.543
2.6219,128.181879,37.961492,6982.9765344,61.858,-3.37,180.525
2.6386,128.181879,37.961448,6982.663504800001,63.782,-3.414,180.506
2.6553,128.181879,37.961404,6982.3471224,65.735,-3.457,180.486
2.6719,128.18188,37.96136,6982.027692000001,67.717,-3.5,180.464
