Time,Longitude,Latitude,Altitude,Roll (deg),Pitch (deg),Yaw (deg)
0.0,128.181881,37.968463,7002.830292000001,0.0,-0.003,179.999
0.0167,128.181881,37.968418,7002.8116992000005,0.0,-0.012,180.0
0.0334,128.181881,37.968374,7002.792496800001,0.0,-0.025,180.0
0.0501,128.181881,37.968329,7002.7720752,0.0,-0.041,180.0
0.0668,128.181881,37.968284,7002.751044,0.0,-0.059,180.0
0.0834,128.181881,37.968239,7002.7287936,0.0,-0.078,180.0
0.1002,128.181881,37.968194,7002.705933600001,0.0,-0.097,180.0
0.1169,128.181881,37.968149,7002.682159200001,0.0,-0.117,180.0
0.1336,128.181881,37.968104,7002.657470400001,0.0,-0.137,180.0
