Time,Longitude,Latitude,Altitude,Roll (deg),Pitch (deg),Yaw (deg)
0.0,128.181313,37.914631,4000.0467624000003,0.0,-0.003,0.0
0.0167,128.181313,37.914669,4000.05804,0.0,-0.013,0.0
0.0334,128.181313,37.914706,4000.0665744000003,0.011,-0.014,0.002
0.0501,128.181313,37.914744,4000.0744992,0.034,0.003,0.007
0.0668,128.181313,37.914781,4000.0815096,0.069,0.055,0.014
0.0834,128.181313,37.914819,4000.0882152,0.115,0.153,0.022
0.1002,128.181313,37.914856,4000.0952256000005,0.171,0.307,0.03
0.1169,128.181313,37.914894,4000.1028456000004,0.237,0.526,0.038
0.1336,128.181313,37.914932,4000.1116848,0.313,0.818,0.047
0.1503,128.181313,37.914969,4000.1226576000004,0.398,1.187,0.057
0.1669,128.181313,37.915007,4000.135764,0.491,1.623,0.067
0.1837,128.181313,37.915044,4000.1513088,0.594,2.115,0.079
0.2004,128.181313,37.915082,4000.1705112,0.706,2.654,0.093
0.2171,128.181313,37.915119,4000.1930664,0.828,3.226,0.108
0.2338,128.181313,37.915157,4000.2198888000003,0.961,3.818,0.126
0.2505,128.181313,37.915195,4000.251588,1.105,4.416,0.145
0.2672,128.181313,37.915232,4000.2881640000005,1.261,5.009,0.167
0.2839,128.181313,37.91527,4000.3299216,1.43,5.583,0.19
0.3006,128.181313,37.915308,4000.3771656000004,1.615,6.132,0.216
0.3172,128.181313,37.915345,4000.4308104,1.817,6.658,0.243
0.3339,128.181313,37.915383,4000.490856,2.037,7.164,0.273
0.3507,128.181313,37.915421,4000.5576072000003,2.277,7.651,0.305
0.3674,128.181313,37.915459,4000.631064,2.537,8.123,0.339
0.3841,128.181313,37.915496,4000.711836,2.822,8.58,0.375
0.4008,128.181313,37.915534,4000.7999232,3.131,9.025,0.414
0.4175,128.181313,37.915572,4000.8956304000003,3.467,9.457,0.457
0.4342,128.181313,37.91561,4000.9986528000004,3.833,9.877,0.502
0.4509,128.181313,37.915647,4001.1096000000002,4.231,10.287,0.551
0.4676,128.181313,37.915685,4001.2278624000005,4.664,10.686,0.604
0.4843,128.181313,37.915723,4001.3540496,5.135,11.075,0.662
0.501,128.181313,37.915761,4001.4878568000004,5.646,11.454,0.723
0.5176,128.181313,37.915799,4001.629284,6.201,11.824,0.79
0.5344,128.181313,37.915836,4001.7810744,6.736,12.186,0.853
0.5511,128.181313,37.915874,4001.9432280000005,7.251,12.54,0.913
0.5678,128.181314,37.915912,4002.1163544,7.748,12.887,0.972
0.5845,128.181314,37.91595,4002.3019776,8.229,13.228,1.032
0.6012,128.181314,37.915987,4002.5004024000004,8.699,13.562,1.096
0.6179,128.181314,37.916025,4002.7104096000003,9.161,13.889,1.165
0.6345,128.181314,37.916063,4002.9326088000003,9.621,14.211,1.238
0.6513,128.181315,37.916101,4003.1666952,10.081,14.528,1.316
0.6679,128.181315,37.916139,4003.4126688000006,10.545,14.84,1.398
0.6847,128.181315,37.916176,4003.6705296,11.017,15.147,1.486
0.7014,128.181316,37.916214,4003.9402776,11.499,15.449,1.578
0.7181,128.181316,37.916252,4004.2219128,11.994,15.747,1.675
0.7348,128.181316,37.916289,4004.5151304000005,12.503,16.042,1.776
0.7514,128.181317,37.916327,4004.8202352000003,13.028,16.332,1.881
0.7682,128.181317,37.916365,4005.1369224,13.57,16.618,1.991
0.7848,128.181318,37.916403,4005.4654968,14.13,16.9,2.105
0.8016,128.181318,37.91644,4005.8059584000002,14.711,17.177,2.223
0.8183,128.181319,37.916478,4006.1576976,15.311,17.451,2.346
0.835,128.181319,37.916516,4006.521324,15.933,17.721,2.473
0.8517,128.18132,37.916553,4006.8965328000004,16.577,17.987,2.604
0.8684,128.181321,37.916591,4007.283324,17.244,18.249,2.74
0.8851,128.181322,37.916629,4007.6813928,17.935,18.506,2.881
0.9018,128.181322,37.916666,4008.0907392000004,18.65,18.759,3.027
0.9185,128.181323,37.916704,4008.5113632000002,19.391,19.008,3.178
0.9352,128.181324,37.916741,4008.9435696,20.157,19.253,3.334
0.9519,128.181325,37.916779,4009.386444,20.95,19.493,3.496
0.9686,128.181326,37.916816,4009.8402912,21.771,19.728,3.662
0.9853,128.181327,37.916854,4010.3051112000003,22.621,19.959,3.835
1.002,128.181328,37.916892,4010.7805992,23.499,20.185,4.013
1.0187,128.181329,37.916929,4011.2664504000004,24.408,20.406,4.196
1.0353,128.18133,37.916967,4011.7626648,25.348,20.622,4.385
1.0521,128.181331,37.917004,4012.2692424,26.32,20.832,4.58
1.0688,128.181333,37.917041,4012.7858784000005,27.324,21.038,4.782
1.0855,128.181334,37.917079,4013.3119632000003,28.361,21.237,4.989
1.1022,128.181335,37.917116,4013.8481064000002,29.432,21.431,5.203
1.1189,128.181337,37.917154,4014.3933936000003,30.537,21.619,5.423
1.1356,128.181338,37.917191,4014.9481296000004,31.679,21.8,5.649
1.1522,128.18134,37.917229,4015.5117048,32.855,21.975,5.883
1.169,128.181342,37.917266,4016.0847288,34.065,22.144,6.122
1.1857,128.181343,37.917303,4016.6665920000005,35.307,22.305,6.368
1.2024,128.181345,37.917341,4017.2575992,36.578,22.46,6.62
1.2191,128.181347,37.917378,4017.8574456,37.877,22.607,6.877
1.2358,128.181349,37.917415,4018.4661312,39.202,22.747,7.141
1.2525,128.181351,37.917453,4019.0833512,40.551,22.88,7.41
1.2691,128.181353,37.91749,4019.7088008000005,41.923,23.004,7.686
1.2859,128.181355,37.917527,4020.3430896000004,43.315,23.119,7.969
1.3026,128.181358,37.917564,4020.9853032000005,44.727,23.224,8.259
1.3193,128.18136,37.917602,4021.6357464000002,46.157,23.318,8.557
1.3359,128.181362,37.917639,4022.2941144000006,47.604,23.401,8.864
1.3527,128.181365,37.917676,4022.9601024000003,49.066,23.471,9.179
1.3694,128.181367,37.917713,4023.6340152000002,50.542,23.528,9.503
1.386,128.18137,37.91775,4024.3149384000003,52.031,23.571,9.835
1.4028,128.181373,37.917788,4025.0034816,53.532,23.599,10.177
1.4195,128.181376,37.917825,4025.6987304000004,55.045,23.611,10.527
1.4362,128.181379,37.917862,4026.4006848000004,56.568,23.607,10.886
1.4528,128.181382,37.917899,4027.1093448,58.101,23.584,11.254
1.4696,128.181385,37.917936,4027.8244056000003,59.644,23.543,11.629
1.4863,128.181389,37.917973,4028.5455624000006,61.196,23.483,12.012
1.5029,128.181392,37.91801,4029.2722056000002,62.757,23.403,12.402
1.5197,128.181396,37.918047,4030.0049448,64.326,23.302,12.798
1.5364,128.181399,37.918084,4030.7428656,65.903,23.179,13.199
1.5531,128.181403,37.918121,4031.4856632,67.489,23.034,13.605
1.5697,128.181407,37.918158,4032.2333376,69.082,22.867,14.015
1.5865,128.181411,37.918195,4032.985584,70.683,22.677,14.427
1.6032,128.181415,37.918232,4033.7420976000003,72.292,22.463,14.84
1.6198,128.181419,37.918269,4034.5025736000002,73.908,22.226,15.254
1.6366,128.181423,37.918306,4035.2667072000004,75.533,21.965,15.667
1.6533,128.181428,37.918343,4036.0341936000004,77.166,21.68,16.078
1.67,128.181432,37.91838,4036.8044232,78.806,21.372,16.485
1.6867,128.181437,37.918417,4037.5777008000005,80.455,21.039,16.888
1.7034,128.181442,37.918454,4038.3531120000002,82.112,20.683,17.285
1.7201,128.181447,37.918491,4039.130352,83.778,20.304,17.675
1.7368,128.181452,37.918528,4039.9094208,85.453,19.902,18.057
1.7535,128.181457,37.918564,4040.6897088,87.137,19.478,18.429
1.7702,128.181462,37.918601,4041.4709112,88.831,19.033,18.79
1.7869,128.181468,37.918638,4042.2530280000005,90.534,18.566,19.139
1.8036,128.181473,37.918675,4043.03484,92.247,18.08,19.476
1.8203,128.181479,37.918712,4043.8169568000003,93.971,17.574,19.798
1.837,128.181485,37.918749,4044.5981592000003,95.706,17.05,20.106
1.8537,128.181491,37.918785,4045.3784472,97.452,16.508,20.398
1.8704,128.181497,37.918822,4046.157516,99.21,15.951,20.673
1.8871,128.181503,37.918859,4046.9344512,100.979,15.378,20.931
1.9038,128.181509,37.918896,4047.7095576000006,102.762,14.792,21.171
1.9205,128.181515,37.918933,4048.4822256,104.557,14.194,21.392
1.9372,128.181522,37.918969,4049.2515408000004,106.366,13.584,21.594
1.9539,128.181529,37.919006,4050.017808,108.188,12.964,21.777
1.9706,128.181536,37.919043,4050.779808,110.025,12.335,21.939
1.9873,128.181542,37.91908,4051.5381504,111.876,11.699,22.082
2.004,128.18155,37.919116,4052.2913112,113.743,11.058,22.204
2.0207,128.181557,37.919153,4053.0399,115.625,10.411,22.306
2.0374,128.181564,37.91919,4053.7826976,117.522,9.762,22.387
2.0541,128.181571,37.919227,4054.5197040000003,119.436,9.11,22.447
2.0707,128.181579,37.919263,4055.2503096000005,121.366,8.458,22.487
2.0875,128.181587,37.9193,4055.9742096000004,123.313,7.806,22.507
2.1042,128.181594,37.919337,4056.6901848,125.27,7.157,22.506
2.1208,128.181602,37.919374,4057.3976256000005,127.227,6.513,22.488
2.1376,128.18161,37.91941,4058.0956176,129.174,5.875,22.452
2.1543,128.181619,37.919447,4058.7832464000003,131.102,5.247,22.401
2.171,128.181627,37.919484,4059.4595976,133.002,4.629,22.336
2.1877,128.181635,37.91952,4060.1237568,134.869,4.024,22.258
2.2044,128.181644,37.919557,4060.7751144000003,136.694,3.432,22.169
2.2211,128.181653,37.919594,4061.412756,138.474,2.854,22.071
2.2378,128.181662,37.919631,4062.0354624000006,140.204,2.291,21.965
2.2544,128.181671,37.919667,4062.642624,141.879,1.744,21.854
2.2712,128.18168,37.919704,4063.2330216,143.497,1.212,21.739
2.2879,128.181689,37.919741,4063.8069600000003,145.055,0.695,21.621
2.3045,128.181699,37.919777,4064.3635248,146.552,0.194,21.503
2.3213,128.181708,37.919814,4064.9024112,147.987,-0.291,21.386
2.338,128.181718,37.919851,4065.4227048000002,149.36,-0.763,21.27
2.3546,128.181728,37.919887,4065.9247104,150.671,-1.222,21.158
2.3714,128.181737,37.919924,4066.4078184000005,151.919,-1.667,21.051
2.3881,128.181747,37.91996,4066.8720288,153.107,-2.099,20.949
2.4048,128.181758,37.919997,4067.3170368,154.236,-2.52,20.853
2.4215,128.181768,37.920033,4067.7422328000002,155.306,-2.93,20.765
2.4382,128.181778,37.92007,4068.1482264,156.32,-3.329,20.684
2.4549,128.181789,37.920107,4068.5347128,157.28,-3.719,20.612
2.4716,128.181799,37.920143,4068.9010824,158.188,-4.1,20.548
2.4882,128.18181,37.92018,4069.2479448,159.045,-4.473,20.493
2.505,128.18182,37.920216,4069.5753000000004,159.855,-4.839,20.448
2.5217,128.181831,37.920253,4069.8825384,160.618,-5.197,20.413
2.5383,128.181842,37.920289,4070.1717936000005,161.396,-5.551,20.38
2.5551,128.181853,37.920326,4070.4430656,162.183,-5.901,20.349
2.5718,128.181864,37.920362,4070.6966592000003,162.972,-6.248,20.323
2.5884,128.181875,37.920399,4070.933184,163.755,-6.59,20.302
2.6052,128.181886,37.920435,4071.1514208000003,164.524,-6.93,20.287
2.6219,128.181897,37.920472,4071.3504552000004,165.276,-7.266,20.278
2.6386,128.181908,37.920508,4071.5308968,166.003,-7.598,20.276
2.6553,128.18192,37.920545,4071.6918312000003,166.702,-7.927,20.28
2.6719,128.181931,37.920581,4071.8332584,167.364,-8.254,20.287
2.6887,128.181942,37.920618,4071.9548736000006,167.986,-8.58,20.296
2.7054,128.181954,37.920654,4072.0569816,168.564,-8.904,20.304
2.722,128.181965,37.920691,4072.1392776000002,169.097,-9.227,20.31
2.7388,128.181977,37.920727,4072.2020664,169.586,-9.549,20.313
2.7555,128.181988,37.920763,4072.2447384,170.034,-9.872,20.314
