Time,Longitude,Latitude,Altitude,Roll (deg),Pitch (deg),Yaw (deg)
0.0,128.181881,37.923646,7000.146528,0.0,-0.003,0.0
0.0167,128.181881,37.923691,7000.1605488000005,0.0,-0.012,0.0
0.0334,128.181881,37.923736,7000.1733504,0.087,-0.013,0.011
0.0501,128.181881,37.923781,7000.1843232,0.258,0.007,0.034
0.0668,128.181881,37.923826,7000.1962104,0.342,0.063,0.041
0.0834,128.181881,37.92387,7000.2087071999995,0.347,0.167,0.03
0.1002,128.181881,37.923915,7000.222728000001,0.266,0.33,0.006
0.1169,128.181881,37.92396,7000.239492000001,0.095,0.56,359.975
0.1336,128.181881,37.924005,7000.2596088,-0.169,0.865,359.94
0.1503,128.181881,37.92405,7000.284297600001,-0.527,1.245,359.902
0.1669,128.181881,37.924095,7000.311424800001,-0.801,1.689,359.886
0.1837,128.181881,37.92414,7000.3425144,-0.994,2.184,359.891
0.2004,128.181881,37.924185,7000.3775663999995,-1.097,2.716,359.909
0.2171,128.181881,37.92423,7000.416276,-1.104,3.267,359.934
0.2338,128.181881,37.924275,7000.4592528,-1.012,3.821,359.962
0.2505,128.181881,37.92432,7000.506192000001,-0.821,4.361,359.991
0.2672,128.181881,37.924365,7000.5573984,-0.535,4.87,0.022
0.2839,128.181881,37.92441,7000.615005600001,-0.329,5.346,0.031
0.3006,128.181881,37.924455,7000.6790136,-0.199,5.789,0.019
0.3172,128.181881,37.9245,7000.750336800001,-0.156,6.204,359.993
0.3339,128.181881,37.924545,7000.8295848,-0.203,6.592,359.96
0.3507,128.181881,37.92459,7000.9179768,-0.342,6.955,359.923
0.3674,128.181881,37.924634,7001.015512800001,-0.573,7.297,359.884
0.3841,128.181881,37.924679,7001.1231072,-0.892,7.618,359.844
0.4008,128.181881,37.924724,7001.2386264,-1.134,7.906,359.825
0.4175,128.181881,37.924769,7001.362375199999,-1.301,8.145,359.828
0.4342,128.181881,37.924814,7001.493744,-1.385,8.32,359.846
0.4509,128.181881,37.924859,7001.6321232,-1.382,8.418,359.874
0.4676,128.181881,37.924904,7001.7762936,-1.29,8.425,359.907
0.4843,128.181881,37.924949,7001.926255200001,-1.11,8.342,359.944
0.501,128.181881,37.924994,7002.083227200001,-1.001,8.184,359.962
0.5176,128.181881,37.925039,7002.2466,-0.964,7.969,359.96
0.5344,128.181881,37.925084,7002.416678400001,-1.004,7.714,359.945
0.5511,128.181881,37.925128,7002.5934624,-1.127,7.433,359.921
0.5678,128.181881,37.925173,7002.776952000001,-1.337,7.144,359.893
0.5845,128.181881,37.925218,7002.967147200001,-1.635,6.863,359.864
0.6012,128.18188,37.925263,7003.1643527999995,-2.022,6.605,359.833
0.6179,128.18188,37.925308,7003.3688736,-2.495,6.384,359.802
0.6345,128.18188,37.925353,7003.580709600001,-3.053,6.212,359.769
0.6513,128.18188,37.925398,7003.800775199999,-3.694,6.1,359.735
0.6679,128.18188,37.925442,7004.029070400001,-4.416,6.059,359.697
0.6847,128.18188,37.925487,7004.2655952000005,-5.217,6.098,359.654
0.7014,128.18188,37.925532,7004.5103496,-6.093,6.217,359.603
0.7181,128.18188,37.925577,7004.763638400001,-7.043,6.411,359.544
0.7348,128.18188,37.925621,7005.0254616,-8.064,6.669,359.475
0.7514,128.18188,37.925666,7005.2964288,-9.152,6.98,359.395
0.7682,128.18188,37.925711,7005.5762352,-10.305,7.33,359.305
0.7848,128.18188,37.925756,7005.8654904,-11.519,7.708,359.203
0.8016,128.181879,37.9258,7006.1638896,-12.793,8.099,359.092
0.8183,128.181879,37.925845,7006.472042400001,-14.122,8.488,358.974
0.835,128.181879,37.92589,7006.7902536,-15.504,8.861,358.849
0.8517,128.181879,37.925934,7007.118218400001,-16.937,9.216,358.72
0.8684,128.181878,37.925979,7007.456241600001,-18.417,9.552,358.586
0.8851,128.181878,37.926023,7007.804932800001,-19.945,9.87,358.447
0.9018,128.181877,37.926068,7008.163682400001,-21.517,10.17,358.303
0.9185,128.181877,37.926113,7008.532795200001,-23.133,10.452,358.153
0.9352,128.181876,37.926157,7008.912576,-24.791,10.718,357.998
0.9519,128.181876,37.926202,7009.302415200001,-26.492,10.968,357.838
0.9686,128.181875,37.926246,7009.702922400001,-28.234,11.204,357.672
0.9853,128.181874,37.926291,7010.113488000001,-30.016,11.426,357.501
1.002,128.181874,37.926335,7010.5344168,-31.839,11.635,357.324
1.0187,128.181873,37.92638,7010.9650992,-33.702,11.831,357.142
1.0353,128.181872,37.926424,7011.4055352000005,-35.605,12.015,356.953
1.0521,128.181871,37.926469,7011.855724800001,-37.547,12.187,356.758
1.0688,128.18187,37.926513,7012.3150584,-39.529,12.349,356.558
1.0855,128.181868,37.926557,7012.783536,-41.55,12.499,356.35
1.1022,128.181867,37.926602,7013.2608528,-43.61,12.639,356.136
1.1189,128.181865,37.926646,7013.746704,-45.71,12.768,355.916
1.1356,128.181864,37.92669,7014.2407848,-47.849,12.886,355.688
1.1522,128.181862,37.926735,7014.7424856,-50.028,12.995,355.454
1.169,128.18186,37.926779,7015.251501600001,-52.247,13.092,355.213
1.1857,128.181858,37.926823,7015.7678328,-54.505,13.179,354.965
1.2024,128.181856,37.926867,7016.2905648000005,-56.803,13.255,354.709
