Time,Longitude,Latitude,Altitude,Roll (deg),Pitch (deg),Yaw (deg)
0.0,128.181881,37.968463,7002.830292000001,0.0,-0.003,179.999
0.0167,128.181881,37.968418,7002.8116992000005,0.0,-0.012,180.0
0.0334,128.181881,37.968374,7002.792496800001,0.0,-0.026,180.0
0.0501,128.181881,37.968329,7002.7720752,0.0,-0.042,180.0
0.0668,128.181881,37.968284,7002.751044,0.0,-0.06,180.0
0.0834,128.181881,37.968239,7002.7287936,0.0,-0.08,180.0
0.1002,128.181881,37.968194,7002.705933600001,0.0,-0.1,180.0
0.1169,128.181881,37.968149,7002.682159200001,0.0,-0.12,180.0
0.1336,128.181881,37.968104,7002.657165600001,0.0,-0.14,180.0
0.1503,128.181881,37.968059,7002.6315624,0.0,-0.161,180.0
0.1669,128.181881,37.968014,7002.60474,0.0,-0.181,180.0
0.1837,128.181881,37.967969,7002.577308,0.0,-0.201,180.0
0.2004,128.181881,37.967924,7002.548656800001,0.0,-0.221,180.0
0.2171,128.181881,37.967879,7002.5187864,0.0,-0.24,180.0
0.2338,128.181881,37.967834,7002.4883064000005,0.0,-0.26,180.0
0.2505,128.181881,37.967788,7002.4566072,0.0,-0.279,180.0
0.2672,128.181881,37.967743,7002.423993599999,0.0,-0.297,180.0
0.2839,128.181881,37.967698,7002.3904656,0.0,-0.316,180.0
0.3006,128.181881,37.967653,7002.3557184,0.0,-0.334,180.0
0.3172,128.181881,37.967608,7002.320056800001,0.0,-0.352,180.0
0.3339,128.181881,37.967563,7002.2834808,0.0,-0.37,180.0
0.3507,128.181881,37.967518,7002.2456856,0.0,-0.387,180.0
0.3674,128.181881,37.967473,7002.2066712,0.0,-0.405,180.0
0.3841,128.181881,37.967428,7002.166742400001,0.001,-0.422,180.0
0.4008,128.181881,37.967382,7002.1258992,0.001,-0.439,180.0
0.4175,128.181881,37.967337,7002.0838368,0.001,-0.456,180.0
0.4342,128.181881,37.967292,7002.0405552,0.001,-0.472,180.0
0.4509,128.181881,37.967247,7001.9963592,0.001,-0.489,180.0
0.4676,128.181881,37.967202,7001.9512488,0.001,-0.505,180.0
0.4843,128.181881,37.967157,7001.9046144,0.002,-0.521,180.0
0.501,128.181881,37.967111,7001.857370400001,0.002,-0.537,180.0
0.5176,128.181881,37.967066,7001.8086023999995,0.002,-0.553,180.0
0.5344,128.181881,37.967021,7001.758920000001,0.002,-0.568,180.0
0.5511,128.181881,37.966976,7001.708018400001,0.003,-0.584,180.0
0.5678,128.181881,37.966931,7001.6562023999995,0.003,-0.599,180.0
0.5845,128.181881,37.966885,7001.6031672,0.003,-0.615,180.0
0.6012,128.181881,37.96684,7001.5489128,0.004,-0.63,180.0
0.6179,128.181881,37.966795,7001.493744,0.004,-0.645,180.0
0.6345,128.181881,37.96675,7001.437356,0.005,-0.66,180.0
0.6513,128.181881,37.966704,7001.3797488,0.005,-0.675,180.0
0.6679,128.181881,37.966659,7001.3212272,0.006,-0.69,180.0
0.6847,128.181881,37.966614,7001.261486400001,0.006,-0.705,180.0
0.7014,128.181881,37.966568,7001.2005264,0.007,-0.719,180.001
0.7181,128.181881,37.966523,7001.138347200001,0.008,-0.734,180.001
0.7348,128.181881,37.966478,7001.0752536,0.009,-0.748,180.001
0.7514,128.181881,37.966432,7001.010636,0.01,-0.763,180.001
0.7682,128.181881,37.966387,7000.9454088,0.011,-0.777,180.001
0.7848,128.181881,37.966342,7000.8786576,0.012,-0.792,180.001
0.8016,128.181881,37.966296,7000.810992000001,0.013,-0.806,180.001
0.8183,128.181881,37.966251,7000.7418024,0.014,-0.82,180.001
0.835,128.181881,37.966206,7000.6716983999995,0.015,-0.834,180.001
0.8517,128.181881,37.96616,7000.60068,0.017,-0.848,180.001
0.8684,128.181881,37.966115,7000.5281376,0.019,-0.862,180.001
0.8851,128.181881,37.966069,7000.4546808000005,0.02,-0.876,180.002
0.9018,128.181881,37.966024,7000.3800048,0.022,-0.89,180.002
0.9185,128.181881,37.965979,7000.304109600001,0.024,-0.904,180.002
0.9352,128.181881,37.965933,7000.226995200001,0.027,-0.918,180.002
0.9519,128.181881,37.965888,7000.1489664,0.029,-0.932,180.002
0.9686,128.181881,37.965842,7000.0694136,0.032,-0.946,180.002
0.9853,128.181881,37.965797,6999.988946400001,0.035,-0.959,180.003
1.002,128.181881,37.965751,6999.907260000001,0.038,-0.973,180.003
1.0187,128.181881,37.965706,6999.824354400001,0.041,-0.987,180.003
1.0353,128.181881,37.96566,6999.7405344,0.045,-1.0,180.003
1.0521,128.181881,37.965615,6999.6551904,0.049,-1.014,180.003
1.0688,128.181881,37.965569,6999.568932,0.054,-1.028,180.004
1.0855,128.181881,37.965524,6999.4814544,0.059,-1.041,180.004
1.1022,128.181881,37.965478,6999.3927576,0.064,-1.055,180.004
1.1189,128.181881,37.965433,6999.302841600001,0.07,-1.068,180.005
1.1356,128.181881,37.965387,6999.2117064,0.076,-1.082,180.005
1.1522,128.181881,37.965341,6999.119352000001,0.083,-1.095,180.005
1.169,128.181881,37.965296,6999.0260832,0.09,-1.109,180.006
1.1857,128.181881,37.96525,6998.9312904,0.098,-1.122,180.006
1.2024,128.181881,37.965205,6998.835583200001,0.107,-1.136,180.007
1.2191,128.181881,37.965159,6998.738656800001,0.116,-1.149,180.007
1.2358,128.181881,37.965114,6998.6402064,0.126,-1.162,180.008
1.2525,128.181881,37.965068,6998.540841600001,0.138,-1.176,180.009
1.2691,128.181881,37.965022,6998.4402576,0.15,-1.189,180.009
1.2859,128.181881,37.964977,6998.3384544,0.163,-1.202,180.01
1.3026,128.181881,37.964931,6998.235432,0.177,-1.216,180.011
1.3193,128.181881,37.964885,6998.1311904,0.193,-1.229,180.012
1.3359,128.181881,37.96484,6998.0257296,0.21,-1.243,180.013
1.3527,128.18188,37.964794,6997.9190496,0.228,-1.256,180.014
1.3694,128.18188,37.964748,6997.811150400001,0.248,-1.269,180.015
1.386,128.18188,37.964703,6997.7017272,0.27,-1.283,180.016
1.4028,128.18188,37.964657,6997.5913896,0.294,-1.296,180.017
1.4195,128.18188,37.964611,6997.479832800001,0.319,-1.309,180.018
1.4362,128.18188,37.964565,6997.366752000001,0.347,-1.323,180.02
1.4528,128.18188,37.96452,6997.252452000001,0.378,-1.336,180.022
1.4696,128.18188,37.964474,6997.136932800001,0.411,-1.35,180.023
1.4863,128.18188,37.964428,6997.0201944,0.446,-1.363,180.025
1.5029,128.18188,37.964382,6996.9022368000005,0.485,-1.376,180.027
1.5197,128.18188,37.964337,6996.782755200001,0.528,-1.39,180.03
1.5364,128.18188,37.964291,6996.662054400001,0.574,-1.403,180.032
1.5531,128.18188,37.964245,6996.539829599999,0.624,-1.417,180.035
1.5697,128.18188,37.964199,6996.4163856000005,0.678,-1.431,180.038
1.5865,128.18188,37.964153,6996.2917224,0.737,-1.444,180.041
1.6032,128.18188,37.964108,6996.1655352,0.802,-1.458,180.044
1.6198,128.18188,37.964062,6996.037824000001,0.872,-1.472,180.048
1.6366,128.18188,37.964016,6995.9088936,0.948,-1.486,180.052
1.6533,128.18188,37.96397,6995.7781343999995,1.03,-1.499,180.056
1.67,128.18188,37.963924,6995.646156000001,1.12,-1.513,180.061
1.6867,128.18188,37.963878,6995.5126536,1.217,-1.527,180.066
1.7034,128.18188,37.963832,6995.3776272000005,1.323,-1.542,180.071
1.7201,128.18188,37.963786,6995.2410768,1.439,-1.556,180.077
1.7368,128.18188,37.963741,6995.102697600001,1.564,-1.57,180.084
1.7535,128.18188,37.963695,6994.9627944,1.7,-1.585,180.091
1.7702,128.18188,37.963649,6994.8210624,1.848,-1.6,180.099
1.7869,128.18188,37.963603,6994.677806400001,2.009,-1.615,180.107
1.8036,128.18188,37.963557,6994.5327216000005,2.185,-1.63,180.116
1.8203,128.18188,37.963511,6994.385808,2.376,-1.645,180.125
1.837,128.18188,37.963465,6994.2367608,2.584,-1.661,180.135
1.8537,128.18188,37.963419,6994.0858848,2.811,-1.676,180.145
1.8704,128.18188,37.963373,6993.9328752,3.06,-1.693,180.155
1.8871,128.18188,37.963327,6993.7780368,3.33,-1.709,180.165
1.9038,128.18188,37.963281,6993.620760000001,3.625,-1.726,180.175
1.9205,128.18188,37.963235,6993.4613496,3.946,-1.743,180.186
1.9372,128.18188,37.963189,6993.299500800001,4.296,-1.76,180.197
1.9539,128.18188,37.963142,6993.134908800001,4.677,-1.778,180.208
1.9706,128.18188,37.963096,6992.968183200001,5.092,-1.797,180.22
1.9873,128.18188,37.96305,6992.798409600001,5.544,-1.815,180.232
2.004,128.18188,37.963004,6992.625892800001,6.037,-1.835,180.245
2.0207,128.18188,37.962958,6992.450328000001,6.574,-1.855,180.258
2.0374,128.18188,37.962912,6992.2717152000005,7.158,-1.876,180.271
2.0541,128.18188,37.962866,6992.091273600001,7.713,-1.897,180.28
2.0707,128.18188,37.96282,6991.9086984,8.235,-1.918,180.285
2.0875,128.18188,37.962773,6991.7242944,8.731,-1.939,180.287
2.1042,128.18188,37.962727,6991.538976,9.206,-1.959,180.288
2.1208,128.18188,37.962681,6991.3527432,9.667,-1.98,180.29
2.1376,128.18188,37.962635,6991.1649864,10.118,-2.001,180.293
2.1543,128.18188,37.962589,6990.975400800001,10.566,-2.023,180.297
2.171,128.18188,37.962542,6990.783986400001,11.015,-2.045,180.302
2.1877,128.18188,37.962496,6990.591048,11.469,-2.067,180.308
2.2044,128.18188,37.96245,6990.3962808,11.932,-2.089,180.315
2.2211,128.18188,37.962404,6990.19938,12.406,-2.112,180.322
2.2378,128.18188,37.962357,6990.0006504,12.894,-2.135,180.329
2.2544,128.181879,37.962311,6989.7997872000005,13.396,-2.157,180.337
2.2712,128.181879,37.962265,6989.5967904,13.916,-2.181,180.345
2.2879,128.181879,37.962218,6989.39166,14.453,-2.204,180.354
2.3045,128.181879,37.962172,6989.184091200001,15.01,-2.228,180.362
2.3213,128.181879,37.962126,6988.9746936,15.587,-2.252,180.371
2.338,128.181879,37.962079,6988.7628576,16.185,-2.276,180.379
2.3546,128.181879,37.962033,6988.5485832,16.806,-2.301,180.388
2.3714,128.181879,37.961987,6988.3321752,17.45,-2.326,180.397
2.3881,128.181879,37.96194,6988.113024,18.119,-2.351,180.405
2.4048,128.181879,37.961894,6987.8917392,18.812,-2.377,180.414
2.4215,128.181879,37.961847,6987.667711200001,19.532,-2.404,180.423
2.4382,128.181879,37.961801,6987.4412448,20.28,-2.431,180.431
2.4549,128.181879,37.961754,6987.2120352,21.056,-2.458,180.44
2.4716,128.181879,37.961708,6986.9800824,21.861,-2.486,180.448
2.4882,128.181879,37.961661,6986.745691200001,22.697,-2.515,180.457
2.505,128.181878,37.961615,6986.508556800001,23.564,-2.544,180.465
2.5217,128.181878,37.961568,6986.2683744000005,24.465,-2.574,180.472
2.5383,128.181878,37.961522,6986.0254488,25.4,-2.604,180.48
2.5551,128.181878,37.961475,6985.77978,26.371,-2.635,180.486
2.5718,128.181878,37.961429,6985.5307584,27.378,-2.666,180.492
2.5884,128.181878,37.961382,6985.2789936,28.423,-2.698,180.498
2.6052,128.181878,37.961336,6985.0241808,29.507,-2.731,180.502
2.6219,128.181878,37.961289,6984.766320000001,30.631,-2.764,180.507
2.6386,128.181878,37.961242,6984.505106400001,31.797,-2.797,180.51
2.6553,128.181878,37.961196,6984.240844800001,33.006,-2.832,180.513
2.6719,128.181878,37.961149,6983.9732304,34.258,-2.867,180.514
