Time,Longitude,Latitude,Altitude,Roll (deg),Pitch (deg),Yaw (deg)
0.0,128.181881,37.968643,7002.8955192,0.0,-0.003,0.0
0.0167,128.181881,37.968688,7002.909540000001,0.0,-0.012,0.0
0.0334,128.181881,37.968733,7002.923256000001,0.0,-0.012,359.999
0.0501,128.181881,37.968778,7002.9363624,0.0,0.009,359.999
0.0668,128.181881,37.968823,7002.9497736,0.0,0.066,359.999
0.0834,128.181881,37.968868,7002.9634896,0.0,0.172,359.999
0.1002,128.181881,37.968913,7002.977815200001,0.0,0.337,359.999
0.1169,128.181881,37.968958,7002.993969600001,0.0,0.569,359.999
0.1336,128.181881,37.969002,7003.0119528,-0.001,0.875,359.999
0.1503,128.181881,37.969047,7003.032374400001,-0.001,1.257,359.999
0.1669,128.181881,37.969092,7003.0555392,-0.001,1.701,359.999
0.1837,128.181881,37.969137,7003.082056800001,-0.002,2.195,359.999
0.2004,128.181881,37.969182,7003.1125368,-0.002,2.726,359.999
0.2171,128.181881,37.969227,7003.146979200001,-0.003,3.276,359.999
0.2338,128.181881,37.969272,7003.1866032,-0.003,3.829,359.999
0.2505,128.181881,37.969316,7003.231104,-0.004,4.368,359.999
0.2672,128.181881,37.969361,7003.2810912,-0.004,4.877,359.999
0.2839,128.181881,37.969406,7003.337174400001,-0.005,5.354,359.999
0.3006,128.181881,37.969451,7003.399658400001,-0.005,5.8,359.999
0.3172,128.181881,37.969496,7003.4688479999995,-0.006,6.217,359.999
0.3339,128.181881,37.96954,7003.5453528,-0.007,6.609,359.999
0.3507,128.181881,37.969585,7003.629172800001,-0.008,6.976,359.999
0.3674,128.181881,37.96963,7003.720917600001,-0.009,7.323,359.999
0.3841,128.181881,37.969675,7003.820587200001,-0.01,7.649,359.999
0.4008,128.181881,37.969719,7003.9284864,-0.011,7.957,359.998
0.4175,128.181881,37.969764,7004.044920000001,-0.012,8.249,359.998
0.4342,128.181881,37.969809,7004.1695832000005,-0.013,8.527,359.998
0.4509,128.181881,37.969853,7004.3033904,-0.015,8.791,359.998
0.4676,128.181881,37.969898,7004.445732,-0.016,9.043,359.998
0.4843,128.181881,37.969943,7004.5972176000005,-0.018,9.284,359.998
0.501,128.181881,37.969987,7004.7578472000005,-0.02,9.515,359.998
0.5176,128.181881,37.970032,7004.9276208,-0.022,9.737,359.997
0.5344,128.181881,37.970076,7005.1068432,-0.024,9.951,359.997
0.5511,128.181881,37.970121,7005.295209600001,-0.027,10.158,359.997
0.5678,128.181881,37.970165,7005.4933296,-0.029,10.359,359.997
0.5845,128.181881,37.97021,7005.7008984,-0.032,10.553,359.996
0.6012,128.181881,37.970254,7005.9182208,-0.035,10.743,359.996
0.6179,128.181881,37.970299,7006.1452968,-0.039,10.927,359.996
0.6345,128.181881,37.970343,7006.3818216,-0.042,11.107,359.995
0.6513,128.181881,37.970387,7006.6281,-0.047,11.283,359.995
0.6679,128.181881,37.970432,7006.884436800001,-0.051,11.456,359.995
0.6847,128.181881,37.970476,7007.1505272,-0.056,11.626,359.994
0.7014,128.181881,37.97052,7007.4263712,-0.061,11.793,359.994
0.7181,128.181881,37.970565,7007.7122736,-0.067,11.957,359.993
0.7348,128.181881,37.970609,7008.007929599999,-0.073,12.119,359.992
0.7514,128.181881,37.970653,7008.313644,-0.08,12.279,359.992
0.7682,128.181881,37.970697,7008.6294168,-0.087,12.437,359.991
0.7848,128.181881,37.970741,7008.955248,-0.096,12.594,359.99
0.8016,128.181881,37.970785,7009.2908328,-0.104,12.749,359.989
0.8183,128.181881,37.970829,7009.6367808,-0.114,12.903,359.988
0.835,128.181881,37.970873,7009.992482400001,-0.125,13.055,359.987
0.8517,128.181881,37.970917,7010.3585472,-0.136,13.207,359.986
0.8684,128.181881,37.970961,7010.734365600001,-0.149,13.358,359.985
0.8851,128.181881,37.971005,7011.120547200001,-0.162,13.508,359.983
0.9018,128.181881,37.971049,7011.5167872,-0.177,13.657,359.981
0.9185,128.181881,37.971093,7011.9230856,-0.194,13.805,359.98
0.9352,128.181881,37.971137,7012.339442400001,-0.212,13.953,359.978
0.9519,128.181881,37.971181,7012.7658576,-0.231,14.101,359.976
0.9686,128.181881,37.971225,7013.202636,-0.252,14.248,359.973
0.9853,128.181881,37.971268,7013.649472800001,-0.275,14.395,359.971
1.002,128.181881,37.971312,7014.1066728000005,-0.301,14.542,359.968
1.0187,128.181881,37.971356,7014.5736264,-0.328,14.688,359.965
1.0353,128.181881,37.971399,7015.051248,-0.358,14.834,359.962
1.0521,128.181881,37.971443,7015.5386232,-0.391,14.98,359.958
1.0688,128.181881,37.971487,7016.0366664,-0.427,15.126,359.954
1.0855,128.181881,37.97153,7016.5444632,-0.466,15.272,359.95
1.1022,128.181881,37.971574,7017.062928,-0.509,15.418,359.945
1.1189,128.181881,37.971617,7017.591451200001,-0.555,15.564,359.94
1.1356,128.181881,37.971661,7018.1303376000005,-0.606,15.71,359.935
1.1522,128.181881,37.971704,7018.6792824,-0.662,15.856,359.928
1.169,128.181881,37.971747,7019.2388952,-0.722,16.002,359.922
1.1857,128.181881,37.971791,7019.8085664,-0.789,16.148,359.914
1.2024,128.181881,37.971834,7020.388600800001,-0.861,16.294,359.906
1.2191,128.181881,37.971877,7020.9793032,-0.94,16.441,359.897
1.2358,128.181881,37.97192,7021.5803688000005,-1.026,16.588,359.888
1.2525,128.181881,37.971964,7022.1917976,-1.12,16.735,359.877
1.2691,128.181881,37.972007,7022.8135896,-1.222,16.882,359.865
1.2859,128.181881,37.97205,7023.4460496,-1.335,17.029,359.853
1.3026,128.181881,37.972093,7024.089177600001,-1.457,17.177,359.839
1.3193,128.181881,37.972136,7024.7426688000005,-1.591,17.325,359.823
1.3359,128.181881,37.972179,7025.407132800001,-1.736,17.474,359.807
1.3527,128.181881,37.972222,7026.0822648,-1.896,17.622,359.788
1.3694,128.18188,37.972265,7026.7680648000005,-2.07,17.771,359.769
1.386,128.18188,37.972307,7027.4648376000005,-2.261,17.921,359.747
1.4028,128.18188,37.97235,7028.172583200001,-2.47,18.071,359.725
1.4195,128.18188,37.972393,7028.891301600001,-2.699,18.221,359.701
1.4362,128.18188,37.972436,7029.620992800001,-2.95,18.372,359.675
1.4528,128.18188,37.972478,7030.3622663999995,-3.224,18.523,359.647
1.4696,128.18188,37.972521,7031.1145128,-3.524,18.675,359.617
1.4863,128.18188,37.972564,7031.878341600001,-3.852,18.828,359.585
1.5029,128.18188,37.972606,7032.6537528,-4.21,18.981,359.551
1.5197,128.18188,37.972649,7033.4410512,-4.602,19.134,359.514
1.5364,128.18188,37.972691,7034.239932,-5.03,19.288,359.474
1.5531,128.181879,37.972733,7035.050700000001,-5.497,19.443,359.431
1.5697,128.181879,37.972776,7035.873964800001,-6.008,19.598,359.384
1.5865,128.181879,37.972818,7036.7094216000005,-6.566,19.754,359.334
1.6032,128.181879,37.97286,7037.55768,-7.176,19.911,359.279
1.6198,128.181879,37.972902,7038.41874,-7.842,20.068,359.22
1.6366,128.181878,37.972945,7039.292601600001,-8.568,20.225,359.155
1.6533,128.181878,37.972987,7040.179264800001,-9.357,20.384,359.085
1.67,128.181878,37.973029,7041.0787296,-10.206,20.542,359.01
1.6867,128.181878,37.973071,7041.990691200001,-11.114,20.701,358.93
1.7034,128.181877,37.973112,7042.9151496,-12.081,20.861,358.845
1.7201,128.181877,37.973154,7043.8518,-13.105,21.02,358.754
1.7368,128.181876,37.973196,7044.801252000001,-14.184,21.18,358.658
1.7535,128.181876,37.973238,7045.7625912,-15.319,21.34,358.555
1.7702,128.181875,37.973279,7046.736122400001,-16.507,21.499,358.446
1.7869,128.181875,37.973321,7047.7218456,-17.748,21.658,358.33
1.8036,128.181874,37.973363,7048.719456000001,-19.041,21.816,358.207
1.8203,128.181874,37.973404,7049.7286488,-20.385,21.973,358.077
1.837,128.181873,37.973445,7050.7494240000005,-21.779,22.128,357.939
1.8537,128.181872,37.973487,7051.7814768,-23.222,22.282,357.793
1.8704,128.181871,37.973528,7052.8251119999995,-24.715,22.434,357.639
1.8871,128.18187,37.973569,7053.879415200001,-26.256,22.583,357.477
1.9038,128.181869,37.973611,7054.944996,-27.845,22.73,357.306
1.9205,128.181868,37.973652,7056.02094,-29.481,22.874,357.127
1.9372,128.181867,37.973693,7057.1072472000005,-31.165,23.015,356.939
1.9539,128.181866,37.973734,7058.2036128,-32.896,23.151,356.741
1.9706,128.181865,37.973775,7059.3100368000005,-34.672,23.284,356.535
1.9873,128.181863,37.973816,7060.4259096000005,-36.495,23.412,356.318
2.004,128.181862,37.973857,7061.5512312,-38.364,23.535,356.093
2.0207,128.18186,37.973897,7062.685392,-40.279,23.652,355.857
2.0374,128.181858,37.973938,7063.828392,-42.239,23.764,355.612
2.0541,128.181857,37.973979,7064.9796216,-44.244,23.868,355.357
2.0707,128.181855,37.97402,7066.1384712,-46.294,23.966,355.091
2.0875,128.181853,37.97406,7067.3052456000005,-48.389,24.056,354.817
2.1042,128.181851,37.974101,7068.4790304,-50.529,24.137,354.532
2.1208,128.181848,37.974141,7069.6598256,-52.713,24.208,354.237
2.1376,128.181846,37.974182,7070.8467168,-54.94,24.267,353.931
2.1543,128.181843,37.974222,7072.039704,-57.211,24.314,353.614
2.171,128.181841,37.974262,7073.2381776,-59.525,24.348,353.287
2.1877,128.181838,37.974303,7074.441528,-61.882,24.366,352.948
2.2044,128.181835,37.974343,7075.6497552,-64.28,24.367,352.6
2.2211,128.181832,37.974383,7076.8619448,-66.719,24.351,352.241
2.2378,128.181829,37.974423,7078.077792000001,-69.199,24.315,351.872
2.2544,128.181826,37.974463,7079.296687200001,-71.719,24.259,351.495
2.2712,128.181822,37.974503,7080.5180208,-74.278,24.181,351.11
2.2879,128.181819,37.974543,7081.7417928,-76.875,24.08,350.719
2.3045,128.181815,37.974583,7082.966784000001,-79.509,23.956,350.322
2.3213,128.181811,37.974623,7084.1926896,-82.18,23.806,349.922
2.338,128.181807,37.974663,7085.4192048,-84.886,23.63,349.52
2.3546,128.181803,37.974703,7086.64572,-87.627,23.428,349.117
2.3714,128.181799,37.974743,7087.8713208,-90.4,23.198,348.717
2.3881,128.181794,37.974783,7089.0957024,-93.206,22.941,348.32
2.4048,128.18179,37.974822,7090.318255200001,-96.042,22.656,347.929
2.4215,128.181785,37.974862,7091.538369600001,-98.907,22.343,347.546
2.4382,128.18178,37.974902,7092.7557408,-101.801,22.003,347.173
2.4549,128.181775,37.974941,7093.9694544,-104.722,21.635,346.813
2.4716,128.18177,37.974981,7095.1789008000005,-107.668,21.241,346.467
2.4882,128.181765,37.975021,7096.3837752,-110.639,20.82,346.138
